task_id,sonnet_C,sonnet_C_ir,gpt_C,gpt_C_ir,gemini_C,gemini_C_ir,consensus_C,consensus_C_method,sonnet_D,sonnet_D_ir,gpt_D,gpt_D_ir,gemini_D,gemini_D_ir,consensus_D,consensus_D_method,sonnet_R,sonnet_R_ir,gpt_R,gpt_R_ir,gemini_R,gemini_R_ir,consensus_R,consensus_R_method,dispute_axes
1,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10,C2,C2,C2,C2,C2,C2,C2,unanimous,D1,D1,D1,D1,D1,D1,D1,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
100,C1,C1,C1,C1,C2,C2,C1,majority,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
1000,C2,C2,C2,C2,C2,C2,C2,unanimous,D0,D0,D0,D0,D0,D0,D0,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10000-1,C1,C2,C2,C2,C1,C1,C1,majority,D3,D3,D3,D3,D3,D1,D3,unanimous,R1,R1,R1,R1,R2,R2,R1,majority,
10000-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R1,R1,R1,R2,R2,R1,majority,
10001,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10002,C1,C2,C2,C2,C2,C1,C2,majority,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R1,R1,R0,R0,R0,majority,
10003-1,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R0,R0,R0,R1,R0,R0,R0,unanimous,
10003-2,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R1,R1,R1,R1,R0,R1,unanimous,
10003-3,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R1,R1,R1,R1,R1,R0,R1,unanimous,
10004,C1,C1,C1,C1,C1,C1,C1,unanimous,D3,D3,D3,D1,D3,D3,D3,unanimous,R0,R0,R0,R0,R0,R0,R0,unanimous,
10005,C2,C2,C2,C1,C2,C2,C2,unanimous,D3,D3,D3,D3,D3,D3,D3,unanimous,R3,R2,R3,R3,R3,R3,R3,unanimous,
