task_id,sonnet_C,sonnet_D,sonnet_R,gpt_C,gpt_D,gpt_R,gemini_C,gemini_D,gemini_R,consensus_C,consensus_D,consensus_R,dispute_axes
1,C2,D0,R0,C2,D1,R1,C2,D0,R1,C2,D0,R1,
10,C2,D1,R0,C2,D1,R0,C2,D1,R1,C2,D1,R0,
100,C1,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
1000,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10000-1,C1,D3,R2,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10000-2,C2,D3,R2,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10001,C1,D3,R0,C1,D3,R0,C1,D3,R0,C1,D3,R0,
10002,C2,D3,R1,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10003-1,C1,D3,R2,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10003-2,C1,D3,R2,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10003-3,C2,D3,R2,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10004,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10005,C1,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10006-1,C2,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10006-2,C1,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10007,C2,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10008-1,C0,D0,R0,C1,D0,R0,C1,D0,R0,C1,D0,R0,
10008-2,C1,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10008-3,C2,D0,R0,C2,D0,R0,C2,D0,R1,C2,D0,R0,
10009-1,C2,D0,R0,C2,D0,R1,C2,D0,R1,C2,D0,R1,
10009-2,C2,D0,R0,C2,D0,R2,C2,D0,R2,C2,D0,R2,
10009-3,C0,D0,R0,C0,D0,R0,C0,D0,R0,C0,D0,R0,
1001,C2,D0,R0,C2,D0,R0,C2,D0,R0,C2,D0,R0,
10010,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10011,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
10012-1,C1,D3,R0,C1,D3,R0,C1,D3,R2,C1,D3,R0,
10012-2,C2,D3,R0,C2,D3,R2,C2,D3,R2,C2,D3,R2,
10013-1,C1,D3,R0,C1,D3,R0,C1,D3,R2,C1,D3,R0,
10013-2,C1,D3,R0,C1,D3,R2,C1,D3,R2,C1,D3,R2,
